price,size,bedrooms,bathrooms,parking spaces,location,address,href
3295000,107,2,1,1,Sea Point,24 Hall Road,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/108641730
3295000,90,2,1,,Green Point,39 High Level Road,https://property24.com//for-sale/green-point/cape-town/western-cape/11017/108466379
3295000,116,2,2,2,Green Point,204 Winston Place,https://property24.com//for-sale/green-point/cape-town/western-cape/11017/108281237
3295000,92,2,1,1,Green Point,35 Main Road,https://property24.com//for-sale/green-point/cape-town/western-cape/11017/107653482
3295000,85,2,1,1,Sea Point,,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/108088901
3295000,99,2,2,1,Green Point,,https://property24.com//for-sale/green-point/cape-town/western-cape/11017/108009187
3295000,116,2,2,1,Green Point,,https://property24.com//for-sale/green-point/cape-town/western-cape/11017/107115921
3295000,116,2,2,1,Green Point,,https://property24.com//for-sale/green-point/cape-town/western-cape/11017/108589539
3295000,63,1,1,1,Green Point,,https://property24.com//for-sale/green-point/cape-town/western-cape/11017/107597636
3250000,71,1,1,,Sea Point,,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/108574687
3250000,119,2,1.5,1,Sea Point,,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/108512626
3250000,88,2,2,,Sea Point,,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/108468295
3250000,132,1,1.5,1,Sea Point,,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/108395855
3250000,70,2,1,1,Sea Point,267 High Level Road,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/108089243
3250000,76,2,1,1,Sea Point,,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/108278767
3250000,83,2,1,,Sea Point,,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/108250662
3250000,86,2,1,,Sea Point,,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/108186920
3250000,132,1,1.5,1,Sea Point,,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/107984436
3250000,98,2,2,2,Sea Point,,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/107721817
3200000,54,1,1,1,Green Point,,https://property24.com//for-sale/green-point/cape-town/western-cape/11017/108427018
3250000,86,2,1,,Sea Point,,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/108621748
3200000,91,2,1,1,Green Point,"Thorniebrae, 8 York Road",https://property24.com//for-sale/green-point/cape-town/western-cape/11017/108369431
3200000,62,1,1,1,Green Point,"2 Scholtz Road, Bendenis, Green Point",https://property24.com//for-sale/green-point/cape-town/western-cape/11017/107370718
3200000,52,1,1,,Sea Point,,https://property24.com//for-sale/sea-point/cape-town/western-cape/11021/106051814
3200000,44,1,1,,Green Point,197 Main Road,https://property24.com//for-sale/green-point/cape-town/western-cape/11017/107356869
3199000,81,2,2,1,Green Point,8 Vesperdene Road,https://property24.com//for-sale/green-point/cape-town/western-cape/11017/108360537
